"meter_id","injected_issue"
"M00001","none"
"M00002","none"
"M00003","none"
"M00004","none"
"M00005","none"
"M00006","none"
"M00007","none"
"M00008","none"
"M00009","none"
"M00010","leak"
"M00011","continuous"
"M00012","none"
"M00013","none"
"M00014","none"
"M00015","none"
"M00016","none"
"M00017","none"
"M00018","none"
"M00019","none"
"M00020","none"
"M00021","none"
"M00022","rollover"
"M00023","leak"
"M00024","none"
"M00025","none"
"M00026","none"
"M00027","continuous"
"M00028","none"
"M00029","none"
"M00030","none"
"M00031","none"
"M00032","none"
"M00033","stuck"
"M00034","none"
"M00035","none"
"M00036","none"
"M00037","leak"
"M00038","none"
"M00039","none"
"M00040","none"
"M00041","leak"
"M00042","none"
"M00043","none"
"M00044","none"
"M00045","none"
"M00046","none"
"M00047","none"
"M00048","none"
"M00049","none"
"M00050","none"
"M00051","none"
"M00052","none"
"M00053","none"
"M00054","none"
"M00055","none"
"M00056","none"
"M00057","none"
"M00058","none"
"M00059","stuck"
"M00060","none"
