"meter_id","read_ts","consumption_gallons"
"M00001","2025-04-01 00:00:00",0
"M00001","2025-04-01 01:00:00",0
"M00001","2025-04-01 02:00:00",0
"M00001","2025-04-01 03:00:00",0
"M00001","2025-04-01 04:00:00",0
"M00001","2025-04-01 05:00:00",0
"M00001","2025-04-01 06:00:00",29.08
"M00001","2025-04-01 07:00:00",33.98
"M00001","2025-04-01 08:00:00",22.07
"M00001","2025-04-01 09:00:00",44.05
"M00001","2025-04-01 10:00:00",12.8
"M00001","2025-04-01 11:00:00",13.19
"M00001","2025-04-01 12:00:00",8.05
"M00001","2025-04-01 13:00:00",0
"M00001","2025-04-01 14:00:00",13.97
"M00001","2025-04-01 15:00:00",0
"M00001","2025-04-01 16:00:00",4.69
"M00001","2025-04-01 17:00:00",14.05
"M00001","2025-04-01 18:00:00",8.04
"M00001","2025-04-01 19:00:00",0
"M00001","2025-04-01 20:00:00",29.64
"M00001","2025-04-01 21:00:00",6.12
"M00001","2025-04-01 22:00:00",5.44
"M00001","2025-04-01 23:00:00",0
"M00001","2025-04-02 00:00:00",0
"M00001","2025-04-02 01:00:00",0
"M00001","2025-04-02 02:00:00",0
"M00001","2025-04-02 03:00:00",0
"M00001","2025-04-02 04:00:00",10.81
"M00001","2025-04-02 05:00:00",0
"M00001","2025-04-02 06:00:00",46.37
"M00001","2025-04-02 07:00:00",43.71
"M00001","2025-04-02 08:00:00",8.42
"M00001","2025-04-02 09:00:00",6.01
"M00001","2025-04-02 10:00:00",5.56
"M00001","2025-04-02 11:00:00",0
"M00001","2025-04-02 12:00:00",7.68
"M00001","2025-04-02 13:00:00",0
"M00001","2025-04-02 14:00:00",0
"M00001","2025-04-02 15:00:00",6.3
"M00001","2025-04-02 16:00:00",0
"M00001","2025-04-02 17:00:00",41.55
"M00001","2025-04-02 18:00:00",11.22
"M00001","2025-04-02 19:00:00",32.62
"M00001","2025-04-02 20:00:00",8.5
"M00001","2025-04-02 21:00:00",8.57
"M00001","2025-04-02 22:00:00",25.18
"M00001","2025-04-02 23:00:00",0
"M00001","2025-04-03 00:00:00",0
"M00001","2025-04-03 01:00:00",0
"M00001","2025-04-03 02:00:00",0
"M00001","2025-04-03 03:00:00",0
"M00001","2025-04-03 04:00:00",0
"M00001","2025-04-03 05:00:00",0
"M00001","2025-04-03 06:00:00",0
"M00001","2025-04-03 07:00:00",41.33
"M00001","2025-04-03 08:00:00",17.57
"M00001","2025-04-03 09:00:00",0
"M00001","2025-04-03 10:00:00",0
"M00001","2025-04-03 11:00:00",0
"M00001","2025-04-03 12:00:00",0
"M00001","2025-04-03 13:00:00",9.64
"M00001","2025-04-03 14:00:00",0
