"meter_id","account_id","customer_class","meter_size","route_id","install_year","latitude","longitude"
"M00001","A426553","Multi-family","1""","R08",1998,30.257239,-97.715364
"M00002","A202661","Multi-family","1""","R02",2014,30.267539,-97.770276
"M00003","A440097","Residential","5/8""","R01",1998,30.246188,-97.713179
"M00004","A350882","Multi-family","1""","R04",1999,30.242654,-97.678901
"M00005","A443444","Residential","5/8""","R03",2005,30.203244,-97.824689
"M00006","A174742","Residential","5/8""","R05",2013,30.252048,-97.827275
"M00007","A459097","Commercial","2""","R06",2000,30.183089,-97.718495
"M00008","A736967","Residential","5/8""","R06",2002,30.253849,-97.792951
"M00009","A386752","Residential","5/8""","R02",2010,30.337056,-97.674632
"M00010","A100102","Commercial","2""","R04",2009,30.279627,-97.918894
"M00011","A306956","Residential","5/8""","R02",1998,30.221219,-97.640292
"M00012","A732136","Commercial","2""","R07",2016,30.266954,-97.745474
"M00013","A923371","Multi-family","1""","R08",2002,30.352986,-97.660991
"M00014","A302504","Residential","5/8""","R03",2012,30.266299,-97.692467
"M00015","A775362","Residential","5/8""","R02",2021,30.289605,-97.728339
"M00016","A886447","Multi-family","1""","R01",2003,30.372592,-97.806962
"M00017","A423291","Irrigation","1.5""","R04",2020,30.280425,-97.747519
"M00018","A606861","Residential","5/8""","R06",2013,30.342026,-97.780744
"M00019","A395899","Residential","5/8""","R05",2007,30.242026,-97.83949
"M00020","A468257","Residential","5/8""","R02",2004,30.246899,-97.742382
"M00021","A179767","Multi-family","1""","R01",2006,30.20716,-97.752683
"M00022","A125489","Residential","5/8""","R01",2006,30.361569,-97.794174
"M00023","A425229","Irrigation","1.5""","R05",2022,30.20827,-97.77058
"M00024","A606806","Multi-family","1""","R03",2000,30.317654,-97.850461
"M00025","A558900","Residential","5/8""","R06",2015,30.266248,-97.79558
"M00026","A351448","Residential","5/8""","R06",2018,30.240876,-97.687078
"M00027","A326278","Residential","5/8""","R04",2012,30.315496,-97.665304
"M00028","A725041","Multi-family","1""","R02",2012,30.35976,-97.803075
"M00029","A778668","Residential","5/8""","R01",2022,30.201736,-97.779904
"M00030","A416469","Multi-family","1""","R05",2017,30.273109,-97.695956
"M00031","A257983","Commercial","2""","R03",2022,30.232978,-97.770536
"M00032","A846780","Commercial","2""","R06",2013,30.268841,-97.765635
"M00033","A163083","Residential","5/8""","R02",2019,30.336108,-97.77743
"M00034","A671768","Residential","5/8""","R07",2021,30.198234,-97.728123
"M00035","A401693","Residential","5/8""","R07",1998,30.27166,-97.649964
"M00036","A816792","Multi-family","1""","R05",2003,30.259748,-97.80844
"M00037","A727823","Residential","5/8""","R03",2008,30.208135,-97.710189
"M00038","A566204","Residential","5/8""","R04",2006,30.238595,-97.655498
"M00039","A534085","Multi-family","1""","R02",2019,30.2555,-97.777402
"M00040","A105260","Residential","5/8""","R08",2023,30.280294,-97.7845
"M00041","A677846","Residential","5/8""","R01",2019,30.299423,-97.717402
"M00042","A765129","Residential","5/8""","R03",2019,30.218783,-97.818611
"M00043","A711063","Residential","5/8""","R03",2017,30.308254,-97.735313
"M00044","A125850","Irrigation","1.5""","R06",2020,30.192282,-97.787725
"M00045","A675132","Residential","5/8""","R04",2019,30.267838,-97.63401
"M00046","A626194","Irrigation","1.5""","R04",2023,30.314175,-97.796185
"M00047","A136077","Multi-family","1""","R04",2010,30.197081,-97.697765
"M00048","A964878","Residential","5/8""","R03",2002,30.249364,-97.78535
"M00049","A439447","Irrigation","1.5""","R01",2008,30.271775,-97.76809
"M00050","A964164","Residential","5/8""","R01",2012,30.275717,-97.790669
"M00051","A108945","Residential","5/8""","R01",2018,30.20103,-97.805492
"M00052","A484213","Residential","5/8""","R06",1999,30.163333,-97.819401
"M00053","A444670","Residential","5/8""","R05",2022,30.232558,-97.775496
"M00054","A476659","Commercial","2""","R07",2003,30.267859,-97.695101
"M00055","A872878","Residential","5/8""","R06",1998,30.340704,-97.789292
"M00056","A184393","Commercial","2""","R04",2011,30.322936,-97.845876
"M00057","A544603","Residential","5/8""","R07",2013,30.265691,-97.763312
"M00058","A960427","Residential","5/8""","R01",2014,30.313476,-97.780156
"M00059","A631648","Residential","5/8""","R05",2008,30.193066,-97.697729
"M00060","A213463","Residential","5/8""","R04",2015,30.256925,-97.789658
