"supply_date","supplied_gallons"
2025-04-01,41478
2025-04-02,40692
2025-04-03,42833
2025-04-04,41714
2025-04-05,46902
2025-04-06,48030
2025-04-07,42433
2025-04-08,46162
2025-04-09,42937
2025-04-10,43825
2025-04-11,43229
2025-04-12,54345
2025-04-13,48536
2025-04-14,47167
2025-04-15,48357
2025-04-16,46435
2025-04-17,49848
2025-04-18,49812
2025-04-19,54957
2025-04-20,56521
2025-04-21,52341
2025-04-22,47436
2025-04-23,50265
2025-04-24,49095
2025-04-25,51018
2025-04-26,56191
2025-04-27,56262
2025-04-28,49928
2025-04-29,52049
2025-04-30,57752
2025-05-01,55347
2025-05-02,55524
2025-05-03,63426
2025-05-04,58391
2025-05-05,58460
2025-05-06,53777
2025-05-07,55418
2025-05-08,58042
2025-05-09,57607
2025-05-10,66654
2025-05-11,68335
2025-05-12,63310
2025-05-13,62865
2025-05-14,64868
2025-05-15,66296
2025-05-16,60156
2025-05-17,68508
2025-05-18,75820
2025-05-19,64536
2025-05-20,59772
2025-05-21,65764
2025-05-22,63265
2025-05-23,65764
2025-05-24,76340
2025-05-25,70336
2025-05-26,65773
2025-05-27,63897
2025-05-28,67364
2025-05-29,66398
2025-05-30,63330
2025-05-31,78905
2025-06-01,75319
2025-06-02,68015
2025-06-03,67056
2025-06-04,67157
2025-06-05,69585
2025-06-06,66335
2025-06-07,75147
2025-06-08,75070
2025-06-09,69004
2025-06-10,68164
2025-06-11,68608
2025-06-12,67929
2025-06-13,73153
2025-06-14,72410
2025-06-15,79692
2025-06-16,74093
2025-06-17,69623
2025-06-18,72697
2025-06-19,72795
2025-06-20,73170
2025-06-21,77081
2025-06-22,85224
2025-06-23,73513
2025-06-24,72684
2025-06-25,72762
2025-06-26,71053
2025-06-27,73142
2025-06-28,81465
2025-06-29,78276
