meter_id,is_leak,median_night_flow,est_wasted_gallons,is_continuous,nonzero_share,is_stuck,longest_zero_run,is_meter_error,is_spike,negative_reads,spike_z,primary_anomaly,any_anomaly,account_id,customer_class,meter_size,route_id,install_year,latitude,longitude
M00001,FALSE,0,0,FALSE,0.7078703703703704,FALSE,9,FALSE,FALSE,0,2.252409714833096,normal,FALSE,A426553,Multi-family,"1""",R08,1998,30.257239,-97.715364
M00002,FALSE,0,0,FALSE,0.9157407407407407,FALSE,4,FALSE,FALSE,0,2.4445668488860166,normal,FALSE,A202661,Multi-family,"1""",R02,2014,30.267539,-97.770276
M00003,FALSE,0,0,FALSE,0.38425925925925924,FALSE,14,FALSE,FALSE,0,2.648484347450634,normal,FALSE,A440097,Residential,"5/8""",R01,1998,30.246188,-97.713179
M00004,FALSE,0,0,FALSE,0.9111111111111111,FALSE,5,FALSE,FALSE,0,2.9730961472206894,normal,FALSE,A350882,Multi-family,"1""",R04,1999,30.242654,-97.678901
M00005,FALSE,0,0,FALSE,0.7143518518518519,FALSE,9,FALSE,FALSE,0,2.7031797544264458,normal,FALSE,A443444,Residential,"5/8""",R03,2005,30.203244,-97.824689
M00006,FALSE,0,0,FALSE,0.6333333333333333,FALSE,9,FALSE,FALSE,0,3.91744298715948,normal,FALSE,A174742,Residential,"5/8""",R05,2013,30.252048,-97.827275
M00007,TRUE,7.605,5475.6,FALSE,0.95,FALSE,3,FALSE,FALSE,0,1.8215497442533357,leak,TRUE,A459097,Commercial,"2""",R06,2000,30.183089,-97.718495
M00008,FALSE,0,0,FALSE,0.8078703703703703,FALSE,6,FALSE,FALSE,0,3.0879526098450247,normal,FALSE,A736967,Residential,"5/8""",R06,2002,30.253849,-97.792951
M00009,FALSE,0,0,FALSE,0.6527777777777778,FALSE,10,FALSE,FALSE,0,2.612443958835635,normal,FALSE,A386752,Residential,"5/8""",R02,2010,30.337056,-97.674632
M00010,TRUE,71.095,38835.92443960448,FALSE,0.9884259259259259,FALSE,2,FALSE,FALSE,0,1.9742615218619906,leak,TRUE,A100102,Commercial,"2""",R04,2009,30.279627,-97.918894
M00011,FALSE,8.88,0,TRUE,1,FALSE,0,FALSE,FALSE,0,2.5574582663931777,continuous,TRUE,A306956,Residential,"5/8""",R02,1998,30.221219,-97.640292
M00012,TRUE,6.35,4571.999999999999,FALSE,0.9365740740740741,FALSE,4,FALSE,FALSE,0,2.6357376135777346,leak,TRUE,A732136,Commercial,"2""",R07,2016,30.266954,-97.745474
M00013,FALSE,0,0,FALSE,0.8907407407407407,FALSE,6,FALSE,FALSE,0,2.127943506674653,normal,FALSE,A923371,Multi-family,"1""",R08,2002,30.352986,-97.660991
M00014,FALSE,0,0,FALSE,0.6055555555555555,FALSE,9,FALSE,FALSE,0,1.9091036504406005,normal,FALSE,A302504,Residential,"5/8""",R03,2012,30.266299,-97.692467
M00015,FALSE,0,0,FALSE,0.5356481481481481,FALSE,12,FALSE,FALSE,0,3.3212855328709585,normal,FALSE,A775362,Residential,"5/8""",R02,2021,30.289605,-97.728339
M00016,FALSE,0,0,FALSE,0.8972222222222223,FALSE,5,FALSE,FALSE,0,2.741177352502597,normal,FALSE,A886447,Multi-family,"1""",R01,2003,30.372592,-97.806962
M00017,FALSE,7.0649999999999995,0,FALSE,0.8972222222222223,FALSE,2,FALSE,FALSE,0,4.2572762912105295,normal,FALSE,A423291,Irrigation,"1.5""",R04,2020,30.280425,-97.747519
M00018,FALSE,0,0,FALSE,0.5078703703703704,FALSE,11,FALSE,FALSE,0,2.62629107894985,normal,FALSE,A606861,Residential,"5/8""",R06,2013,30.342026,-97.780744
M00019,FALSE,0,0,FALSE,0.6111111111111112,FALSE,9,FALSE,FALSE,0,3.0530991232423528,normal,FALSE,A395899,Residential,"5/8""",R05,2007,30.242026,-97.83949
M00020,FALSE,0,0,FALSE,0.6143518518518518,FALSE,9,FALSE,FALSE,0,2.3901571190569735,normal,FALSE,A468257,Residential,"5/8""",R02,2004,30.246899,-97.742382
M00021,FALSE,0,0,FALSE,0.8916666666666667,FALSE,5,FALSE,FALSE,0,1.9724223628178417,normal,FALSE,A179767,Multi-family,"1""",R01,2006,30.20716,-97.752683
M00022,FALSE,0,0,FALSE,0.7277777777777777,FALSE,8,TRUE,FALSE,1,2.58113769700415,meter_error,TRUE,A125489,Residential,"5/8""",R01,2006,30.361569,-97.794174
M00023,TRUE,82.24000000000001,50003.28786962951,FALSE,0.9092592592592592,FALSE,6,FALSE,FALSE,0,0.7551485960917672,leak,TRUE,A425229,Irrigation,"1.5""",R05,2022,30.20827,-97.77058
M00024,FALSE,0,0,FALSE,0.8972222222222223,FALSE,5,FALSE,FALSE,0,2.0609374172245727,normal,FALSE,A606806,Multi-family,"1""",R03,2000,30.317654,-97.850461
M00025,FALSE,0,0,FALSE,0.6273148148148148,FALSE,10,FALSE,FALSE,0,3.571836676915191,normal,FALSE,A558900,Residential,"5/8""",R06,2015,30.266248,-97.79558
M00026,FALSE,0,0,FALSE,0.6625,FALSE,8,FALSE,FALSE,0,2.6517900989802734,normal,FALSE,A351448,Residential,"5/8""",R06,2018,30.240876,-97.687078
M00027,FALSE,2.89,0,TRUE,1,FALSE,0,FALSE,FALSE,0,2.091236067627672,continuous,TRUE,A326278,Residential,"5/8""",R04,2012,30.315496,-97.665304
M00028,FALSE,0,0,FALSE,0.9064814814814814,FALSE,5,FALSE,FALSE,0,2.083257306524112,normal,FALSE,A725041,Multi-family,"1""",R02,2012,30.35976,-97.803075
M00029,FALSE,0,0,FALSE,0.5837962962962963,FALSE,12,FALSE,FALSE,0,2.177847368690678,normal,FALSE,A778668,Residential,"5/8""",R01,2022,30.201736,-97.779904
M00030,FALSE,0,0,FALSE,0.8847222222222222,FALSE,5,FALSE,FALSE,0,3.086417275781856,normal,FALSE,A416469,Multi-family,"1""",R05,2017,30.273109,-97.695956
M00031,FALSE,0,0,FALSE,0.9203703703703704,FALSE,5,FALSE,FALSE,0,2.253859806505674,normal,FALSE,A257983,Commercial,"2""",R03,2022,30.232978,-97.770536
M00032,FALSE,8.865,0,FALSE,0.9712962962962963,FALSE,2,FALSE,FALSE,0,1.9041648019411839,normal,FALSE,A846780,Commercial,"2""",R06,2013,30.268841,-97.765635
M00033,FALSE,0,0,FALSE,0.5305555555555556,TRUE,269,FALSE,FALSE,0,2.7282005123008486,stuck,TRUE,A163083,Residential,"5/8""",R02,2019,30.336108,-97.77743
M00034,FALSE,0,0,FALSE,0.6513888888888889,FALSE,8,FALSE,FALSE,0,2.1813180256018665,normal,FALSE,A671768,Residential,"5/8""",R07,2021,30.198234,-97.728123
M00035,FALSE,0,0,FALSE,0.4736111111111111,FALSE,10,FALSE,FALSE,0,2.2045967320092914,normal,FALSE,A401693,Residential,"5/8""",R07,1998,30.27166,-97.649964
M00036,FALSE,0,0,FALSE,0.9435185185185185,FALSE,4,FALSE,FALSE,0,2.5214159071590596,normal,FALSE,A816792,Multi-family,"1""",R05,2003,30.259748,-97.80844
M00037,TRUE,11.33,8157.6,FALSE,0.7958333333333333,FALSE,8,FALSE,FALSE,0,0.9116896460640918,leak,TRUE,A727823,Residential,"5/8""",R03,2008,30.208135,-97.710189
M00038,FALSE,0,0,FALSE,0.5611111111111111,FALSE,10,FALSE,FALSE,0,2.5230087661106335,normal,FALSE,A566204,Residential,"5/8""",R04,2006,30.238595,-97.655498
M00039,FALSE,0,0,FALSE,0.9578703703703704,FALSE,3,FALSE,FALSE,0,2.644264823662689,normal,FALSE,A534085,Multi-family,"1""",R02,2019,30.2555,-97.777402
M00040,FALSE,0,0,FALSE,0.7657407407407407,FALSE,7,FALSE,FALSE,0,3.713730245470481,normal,FALSE,A105260,Residential,"5/8""",R08,2023,30.280294,-97.7845
M00041,TRUE,9.88,7113.6,FALSE,0.7805555555555556,FALSE,10,FALSE,FALSE,0,1.2043873508717176,leak,TRUE,A677846,Residential,"5/8""",R01,2019,30.299423,-97.717402
M00042,FALSE,0,0,FALSE,0.5958333333333333,FALSE,11,FALSE,FALSE,0,2.791484461218071,normal,FALSE,A765129,Residential,"5/8""",R03,2019,30.218783,-97.818611
M00043,FALSE,0,0,FALSE,0.4587962962962963,FALSE,11,FALSE,FALSE,0,3.7472110270725234,normal,FALSE,A711063,Residential,"5/8""",R03,2017,30.308254,-97.735313
M00044,TRUE,8.215,3362.818997823412,FALSE,0.8680555555555556,FALSE,3,FALSE,FALSE,0,3.7126702702112246,leak,TRUE,A125850,Irrigation,"1.5""",R06,2020,30.192282,-97.787725
M00045,FALSE,0,0,FALSE,0.7125,FALSE,8,FALSE,FALSE,0,2.3576265576055744,normal,FALSE,A675132,Residential,"5/8""",R04,2019,30.267838,-97.63401
M00046,FALSE,17.009999999999998,0,FALSE,0.9550925925925926,FALSE,3,FALSE,FALSE,0,3.3918649017934115,normal,FALSE,A626194,Irrigation,"1.5""",R04,2023,30.314175,-97.796185
M00047,FALSE,0,0,FALSE,0.9347222222222222,FALSE,5,FALSE,FALSE,0,2.2522688262189714,normal,FALSE,A136077,Multi-family,"1""",R04,2010,30.197081,-97.697765
M00048,FALSE,0,0,FALSE,0.5814814814814815,FALSE,10,FALSE,FALSE,0,3.2130727823404373,normal,FALSE,A964878,Residential,"5/8""",R03,2002,30.249364,-97.78535
M00049,FALSE,7.775,0,FALSE,0.8703703703703703,FALSE,3,FALSE,FALSE,0,2.710333111201139,normal,FALSE,A439447,Irrigation,"1.5""",R01,2008,30.271775,-97.76809
M00050,FALSE,0,0,FALSE,0.6814814814814815,FALSE,9,FALSE,FALSE,0,2.1359177628613857,normal,FALSE,A964164,Residential,"5/8""",R01,2012,30.275717,-97.790669
M00051,FALSE,0,0,FALSE,0.5800925925925926,FALSE,9,FALSE,FALSE,0,2.4766553895756998,normal,FALSE,A108945,Residential,"5/8""",R01,2018,30.20103,-97.805492
M00052,FALSE,0,0,FALSE,0.47129629629629627,FALSE,14,FALSE,FALSE,0,3.5026845870608203,normal,FALSE,A484213,Residential,"5/8""",R06,1999,30.163333,-97.819401
M00053,FALSE,0,0,FALSE,0.5449074074074074,FALSE,10,FALSE,FALSE,0,3.72071448261287,normal,FALSE,A444670,Residential,"5/8""",R05,2022,30.232558,-97.775496
M00054,FALSE,5.98,0,FALSE,0.9388888888888889,FALSE,5,FALSE,FALSE,0,1.6940721788411541,normal,FALSE,A476659,Commercial,"2""",R07,2003,30.267859,-97.695101
M00055,FALSE,0,0,FALSE,0.7023148148148148,FALSE,9,FALSE,FALSE,0,3.0700904949433943,normal,FALSE,A872878,Residential,"5/8""",R06,1998,30.340704,-97.789292
M00056,FALSE,11.335,0,FALSE,0.9828703703703704,FALSE,2,FALSE,FALSE,0,1.8722173909434827,normal,FALSE,A184393,Commercial,"2""",R04,2011,30.322936,-97.845876
M00057,FALSE,0,0,FALSE,0.6856481481481481,FALSE,8,FALSE,FALSE,0,2.501014777811184,normal,FALSE,A544603,Residential,"5/8""",R07,2013,30.265691,-97.763312
M00058,FALSE,0,0,FALSE,0.4842592592592593,FALSE,11,FALSE,FALSE,0,2.0900279226525833,normal,FALSE,A960427,Residential,"5/8""",R01,2014,30.313476,-97.780156
M00059,FALSE,0,0,FALSE,0.5351851851851852,TRUE,274,FALSE,FALSE,0,2.6586987343287816,stuck,TRUE,A631648,Residential,"5/8""",R05,2008,30.193066,-97.697729
M00060,FALSE,0,0,FALSE,0.47314814814814815,FALSE,12,FALSE,FALSE,0,2.3742637688826624,normal,FALSE,A213463,Residential,"5/8""",R04,2015,30.256925,-97.789658
