supply_date,supplied_gallons,metered_gallons,nrw_gallons,nrw_percent
2025-04-01,41478,35501.26,5976.739999999998,14.409421862192
2025-04-02,40692,37264.13,3427.8700000000026,8.423940823749145
2025-04-03,42833,37853.2,4979.800000000003,11.626082693250538
2025-04-04,41714,35444.98,6269.019999999997,15.02857553818861
2025-04-05,46902,41805.73,5096.269999999997,10.865783975097003
2025-04-06,48030,39621.07,8408.93,17.50766187799292
2025-04-07,42433,37860,4573,10.776989607145381
2025-04-08,46162,38416.33,7745.669999999998,16.779320653351235
2025-04-09,42937,37237.94,5699.059999999998,13.273074504506598
2025-04-10,43825,36775.47,7049.529999999999,16.08563605248146
2025-04-11,43229,38057.06,5171.940000000002,11.96405190959773
2025-04-12,54345,46490.85,7854.1500000000015,14.452387524151257
2025-04-13,48536,43134.48,5401.519999999997,11.128894016812255
2025-04-14,47167,39985.63,7181.370000000003,15.225411834545344
2025-04-15,48357,40831.73,7525.269999999997,15.561904171061059
2025-04-16,46435,39889.43,6545.57,14.096198987832453
2025-04-17,49848,43138.13,6709.870000000003,13.460660407639228
2025-04-18,49812,42971.6,6840.4000000000015,13.732433951658237
2025-04-19,54957,44127.01,10829.989999999998,19.706297650890694
2025-04-20,56521,47010.02,9510.980000000003,16.82733851134977
2025-04-21,52341,42791.28,9549.720000000001,18.24519974780765
2025-04-22,47436,41385.94,6050.059999999998,12.754152963993587
2025-04-23,50265,43367.62,6897.379999999997,13.722033223913256
2025-04-24,49095,44297.84,4797.1600000000035,9.771178327731956
2025-04-25,51018,45041.26,5976.739999999998,11.71496334626994
2025-04-26,56191,50293.33,5897.669999999998,10.495755548041497
2025-04-27,56262,49431.62,6830.379999999997,12.140307845437414
2025-04-28,49928,43173.92,6754.080000000002,13.527639801313896
2025-04-29,52049,43721.89,8327.11,15.99859747545582
2025-04-30,57752,47451.63,10300.370000000003,17.83552084776285
2025-05-01,55347,46321.71,9025.29,16.306737492547022
2025-05-02,55524,47015.02,8508.980000000003,15.324868525322389
2025-05-03,63426,53163.13,10262.870000000003,16.18085643111658
2025-05-04,58391,50199.62,8191.379999999997,14.02849754242948
2025-05-05,58460,50198.03,8261.970000000001,14.132689018132059
2025-05-06,53777,46787.53,6989.470000000001,12.997136322219538
2025-05-07,55418,48441.85,6976.1500000000015,12.5882384784727
2025-05-08,58042,48871.5,9170.5,15.799765686916372
2025-05-09,57607,47512.75,10094.25,17.52261009946708
2025-05-10,66654,56594.58,10059.419999999998,15.091997479521105
2025-05-11,68335,56542.83,11792.169999999998,17.25641325821321
2025-05-12,63310,51959.62,11350.379999999997,17.9282577791818
2025-05-13,62865,51097.12,11767.879999999997,18.719287361807044
2025-05-14,64868,54162.28,10705.720000000001,16.503853980390947
2025-05-15,66296,53539.27,12756.730000000003,19.242080970194284
2025-05-16,60156,51939.11,8216.89,13.6593024802181
2025-05-17,68508,60744.89,7763.110000000001,11.331683890932446
2025-05-18,75820,63171.2,12648.800000000003,16.682669480348196
2025-05-19,64536,55118.38,9417.620000000003,14.59281641254494
2025-05-20,59772,53061.44,6710.559999999998,11.22692899685471
2025-05-21,65764,56161.66,9602.339999999997,14.601210388662485
2025-05-22,63265,54810.98,8454.019999999997,13.362870465502247
2025-05-23,65764,55368.16,10395.839999999997,15.80779757922267
2025-05-24,76340,60846.84,15493.160000000003,20.29494367304166
2025-05-25,70336,60233.9,10102.099999999999,14.362630800727933
2025-05-26,65773,56049.19,9723.809999999998,14.783893086828938
2025-05-27,63897,58088.24,5808.760000000002,9.090818035275525
2025-05-28,67364,55988.12,11375.879999999997,16.88718009619381
2025-05-29,66398,57511.44,8886.559999999998,13.3837766197777
2025-05-30,63330,57452.62,5877.379999999997,9.280562134849198
2025-05-31,78905,64529.6,14375.400000000001,18.218617324630888
2025-06-01,75319,66507.84,8811.160000000003,11.698455900901504
2025-06-02,68015,56743.98,11271.019999999997,16.571373961626108
2025-06-03,67056,58247.05,8808.949999999997,13.136706633261747
2025-06-04,67157,58328.08,8828.919999999998,13.146686123561205
2025-06-05,69585,59244.01,10340.989999999998,14.860947043184591
2025-06-06,66335,57919.57,8415.43,12.686259139217608
2025-06-07,75147,66056.19,9090.809999999998,12.097369156453349
2025-06-08,75070,65151.8,9918.199999999997,13.21193552684161
2025-06-09,69004,59417.6,9586.400000000001,13.89252796939308
2025-06-10,68164,59969.51,8194.489999999998,12.021727011325623
2025-06-11,68608,60093.26,8514.739999999998,12.410710121268654
2025-06-12,67929,59686.79,8242.21,12.133565929131885
2025-06-13,73153,62084.18,11068.82,15.131054092108322
2025-06-14,72410,64232.4,8177.5999999999985,11.293467753072779
2025-06-15,79692,68134.16,11557.839999999997,14.50313707774933
2025-06-16,74093,64398.54,9694.46,13.084177992522909
2025-06-17,69623,60531.72,9091.279999999999,13.057868807721585
2025-06-18,72697,59472.9,13224.099999999999,18.19070938278058
2025-06-19,72795,59103.12,13691.879999999997,18.808819287038943
2025-06-20,73170,61330.159999999996,11839.840000000004,16.181276479431467
2025-06-21,77081,67302.67,9778.330000000002,12.685785083224143
2025-06-22,85224,69964.83,15259.169999999998,17.90478034356519
2025-06-23,73513,62439.16,11073.839999999997,15.063784636730912
2025-06-24,72684,60781.11,11902.89,16.376217599471687
2025-06-25,72762,61167.09,11594.910000000003,15.935392100272127
2025-06-26,71053,63811.57,7241.43,10.191589376943972
2025-06-27,73142,61751.43,11390.57,15.573227420633836
2025-06-28,81465,70777.95,10687.050000000003,13.11857853065734
2025-06-29,78276,68515.34,9760.660000000003,12.469543666002355
